Programmes,Phase,Item,Mots-clés,Appliquée
"PROG_1, PROG_2",analyse,ana_fonc <test> -c -v,TOUS,
"PROG_1, PROG_2",codage,Autoriser l'utilisation de la FDTM durant le test,"sauf deploiement, TOUS",
PROG_2,exécution,Connecter l'EBB POS-3 en fonction du PM utilisé (si besoin),"PL, POS3",
"PROG_1, PROG_2",codage,creertest <test>avec option -c ou -p selon besoin,TOUS,
"PROG_1, PROG_2",codage,Envoyer les TC spécifiques de reprise de contexte des SADM spécifiques avant l'envoi des TC decontexte,post RDP1,
GENERIQUE,préparation,expédition équipement: liste des documents à fournir,TOUS,
"PROG_1, PROG_2",codage,La procedure de WarmStart à utiliser se trouve dans la librairie cc_proc_warmstart. Elle porte le nom WS_miss5_<ctx_reprise>_PM<A ou B>(<tGPSWarmStart>).,"GPS, MeO, warmstart",
"PROG_1, PROG_2",exécution,Mettre à jour le fichier gyrostd.cal dans $SGSE_HOME/CURRENT_CONF/CHR et $SGSE_HOME/CONF/CHR en fonction des gyros utilisés,BF GYRO,
PROG_2,exécution,Mettre ON les alimentations de l'EBB POS-3 quand nécessaire,"PL, POS3",
"PROG_1, PROG_2",codage,"Mettre une instruction set_1553_Error pour chaque instrument PL utilisé : Set_1553_Error (""1"", ""TIMEOUT""); /* POSEIDON 1 = 1, POSEIDON 2 = 4 */ Set_1553_Error (""7"", ""TIMEOUT""); /* DORIS 1 = 7, DORIS 2 = 10 */","PL, POS3",
"PROG_1, PROG_2",codage,Modifier la configuration du RM en cas de reconfiguration inattendue durant le test,"MeO, TOUS",
"PROG_1, PROG_2",codage,Modifier la FDIR pour le health status GYRO pendant le mode TEST après l'envoi des TC de contexte,annulé,
PROG_2,exécution,"Modifier le fichier plbs.chr pour configurer le paquet DIODE sur le RT, la sous-adresse, la fréquence souhaitée (si paquet diode nécessaire)",PL,
"PROG_1, PROG_2",codage,modini <test>,TOUS,
GENERIQUE,préparation,réception équipement: liste des documents à demander,TOUS,
"PROG_1, PROG_2",exécution,"Vérifier la date de la dernière calibration. Elle doit être < 15 jours sinon, il faut calibrer les gyros","BF GYRO, calibration",
"PROG_1, PROG_2",exécution,Vérifier que l'alimentation du DHU est ON,TOUS,
"PROG_1, PROG_2",codage,Vérifier que les dates dans le .tp correspond au fichier définition dans REF_CONTEXT/<contexte>/definition, ,
"PROG_1, PROG_2",exécution,Vérifier que outputs et outputs_ctx sont accessibles en écriture,TOUS,
